CBT_ID,Datum_Shift_NAVD88_Minus_NGVD29,Long_Name
ALF,3.9,Albeni Falls
AMF,3.3,American Falls
AND,3.4,Anderson Ranch
ARDB,4.3,Arrow Lakes
ARK,3.4,Arrowrock
BON,3.3,Bonneville
BDY,4,Boundary
BOX,4,Box Canyon
BRI,4.2,Brillant
BRN,3.3,Brownlee
BMP,3.9,Bumping Lake
CAB,3.9,Cabinet Gorge
CSC,3.6,Cascade
CHL,3.9,Chelan
CHJ,4,Chief Joseph
CLE,3.9,Cle Elum
CORB,4.3,Corra Linn
DED,4,Deadwood
DCDB,4.3,Duncan
DWR,3.3,Dworshak
GCL,3.9,Grand Coulee
HCD,3.6,Hells Canyon
HGH,3.9,Hungry Horse
IHR,3.4,Ice Harbor
JCK,4.3,Jackson Lake
JDA,3.2,John Day
KAC,3.9,Kachess
KEE,4,Keechelus
KER,3.6,Kerr
SKQ,3.6,Kerr
LIB,3.9,Libby
LFL,3.8,Little Falls
LGS,3.2,Little Goose
LLK,3.8,Long Lake
LBN,4.2,Lower Bonnington
LWG,3.4,Lower Granite
LMN,3.3,Lower Monumental
LUC,3.3,Lucky Peak
MCN,3.3,McNary
MCDB,4.7,Mica
MON,3.8,Monroe Street
NIN,3.8,Nine Mile
NOX,3.9,Noxon Rapids
OWY,3.3,Owyhee
OXB,3.4,Oxbow
PAL,4,Palisades
PEL,3.6,Pelton
RER,3.5,Pelton Rereg
PFL,3.8,Post Falls
PSL,4,Priest Lake
PRD,3.5,Priest Rapids
RVCB,4.5,Revelstoke
RIS,3.7,Rock Island
RRH,3.8,Rocky Reach
ROU,3.6,Round Butte
SEV,4.1,Seven Mile
SLO,4.2,Slocan
TDA,3.3,The Dalles
TOM,3.8,Thompson Falls
TTN,3.8,Tieton
UBN,4.2,Upper Bonnington
UPF,3.8,Upper Falls
WAN,3.5,Wanapum
WAT,4,Waneta
WEL,4,Wells
